nombre,localidad,direccion,telefono,email,web,gps_lat,gps_lon,rrss,servicios,url_ficha,slug,descripcion
Bodega Cooperativa Albarizas,Trebujena,Avenida de Jerez,+34 956 332 050,admon@vinosdealbarizas.com,https://vinosdealbarizas.com/,36.866198,-6.1733431,https://www.facebook.com/vinosdeAlbarizas/ | https://www.instagram.com/vinosdealbarizas/,Visitas a bodega con cata de vinos | Tienda de vinos,https://rutadelvinojerez.es/empresas-y-servicios/bodega-cooperativa-albarizas,bodega-cooperativa-albarizas,"La Bodega Cooperativa Albarizas de Trebujena es una parada imprescindible para descubrir la esencia vitivinícola del Bajo Guadalquivir y del Marco de Jerez. Fundada en 1977, reúne a generaciones de viticultores que han sabido conservar el saber tradicional del viñedo sobre albarizas, dando lugar a vinos con identidad propia y profundo arraigo al territorio. La visita a la bodega permite conocer de cerca el trabajo cooperativo, los procesos de elaboración del mosto y los vinos, y adentrarse en su bodega de crianza, donde reposan Finos, Amontillados, Olorosos y Creams bajo la marca Castillo de Guzmán. La experiencia se completa con degustaciones comentadas que invitan a comprender el paisaje, el clima y la cultura del vino de Trebujena, uniendo vino, historia y territorio en un entorno auténtico y sin artificios."
Bodega Gago & Co. Barrels – Wines,Jerez de la Frontera,Calle Arcos 51 11401 Jerez de la Frontera (Cádiz),+34 956 332 050,info@gagobarrels.com,https://gagobarrels.com/visitanos/,36.6841143,-6.1314227,https://www.facebook.com/profile.php?id=100094517224402 | https://www.instagram.com/gagocobarrels_wines/,Visitas guiadas | Catas de vinos | Experiencias enoturísticas | Eventos privados | Tienda | Tabanco Los Monos,https://rutadelvinojerez.es/empresas-y-servicios/gago-co-barrels-wines,gago-co-barrels-wines,
Bodega Mar 7,Sanlúcar de Barrameda,"Calle Mar, 9, 11540 Sanlúcar de Barrameda",+34 676 179 130,,http://despachodevinosmar7.com/,36.678025876324,-6.1207399741455,,Catas | Maridajes,https://rutadelvinojerez.es/empresas-y-servicios/mar-7,mar-7,"Bodega MAR 7 – 1840 es un proyecto que se puso en marcha en agosto de 2014 con el objetivo de homenajear a sus antepasados bodegueros, ofrecer una selección de vinos de calidad de la zona, crear cultura del vino mediante la realización de pequeñas catas, degustaciones, maridajes… y ofrecer otros productos exclusivos. Para ello, adquirieron botas, soleras y vinos, con la finalidad de constituir una pequeña y modesta bodega en el centro de Sanlúcar, en un entorno único y privilegiado como es la Casa Matriz de la Bodega Familiar (S.XIX), donde sus vinos adquieren una características únicas y diferenciadoras, gracias a las especiales condiciones microclimáticas que se dan. Además, sus altos techos de vigas de madera y amplios muros constituyen un lugar idóneo para la crianza de vinos biológicos (bajo “Velo de Flor”). Bajo la marca MAR 7 se embotellan unos vinos seleccionados cuidadosamente de entre los mejores del Marco. Unos vinos únicos en el mundo, amparados por las DO Jerez-Xérès-Sherry y Manzanilla- Sanlúcar de Barrameda, con una imagen muy innovadora basada en tres principios; el entorno, la tipografía y la gama cromática que va del color arena al color azul profundo del mar."
"Bodega, Viña Y Casa Rural Santa Petronila",Jerez de la Frontera,"Carretera del Calvario, km. 3,5, Jerez de la Frontera",+34 669 750 888,,https://santapetronila.com/,36.72415356904,-6.198054660653,https://www.facebook.com/vinasantapetronila/ | https://www.instagram.com/crsantapetronila/?hl=es,"Alojamiento entre Viñedos | Celebraciones, bodas y reuniones de empresas | Paquetes de Enoturismo | Turismo activo",https://rutadelvinojerez.es/empresas-y-servicios/casa-rural-santa-petronila-y-bodega,casa-rural-santa-petronila-y-bodega,"El Cortijo Viña Santa Petronila (1727), se ubica en medio del Jerez Superior, la mejor zona vinícola del Marco de Jerez. Totalmente rodeada de viñedos, es el sitio perfecto para un grupo de amigos, una familia o una reunión de empresa, para disfrutar de unos días de convivencia, celebración o de relax y tranquilidad. El cortijo está situado a 4 km. de Jerez centro y el Centro Comercial Área Sur, y a 15-20 km. de las playas del Puerto de Santa María y Sanlúcar de Barrameda. La Casa Viña fue reformada en 2007-2010 y cuenta con todas las comodidades del siglo XXI: calefacción por suelo radiante, cocina moderna y una piscina con agua salada. Dispone de 30 plazas y un total de 14 habitaciones. Además, cuenta con porches, jardín, Barbacoa y zona de aparcamiento."
Bodegas Ac Wines & Spirits – Sucesores...,Sanlúcar de Barrameda,Siete Revueltas 14 y Fariñas S/N 11540 Sanlúcar de Barrameda (Cádiz),+34 630 72 87 53,administrador@acwines.es,https://acwines.es/,36.780084474256,-6.3495787000868,https://www.instagram.com/ac_wines_spirits/?hl=es,Visitas guiadas con degustación de vinos y aperitivos | Catas de vinos | Tienda de vinos,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-ac-wines-spirits-sucesores-de-g-de-angulo,bodegas-ac-wines-spirits-sucesores-de-g-de-angulo,"El casco bodeguero, construido en 1855, se encuentra entre la calle Fariñas y la plaza de las Siete Revueltas, un lugar privilegiado para la crianza de manzanillas. Situado en la parte más antigua del Barrio Bajo de Sanlúcar de Barrameda, justo al pie de su “barranca”, este casco se ubica en el corazón del histórico eje bodeguero Regina-Fariñas / Carmen Viejo-Alcoba / Bolsa-Trasbolsa. El edificio se conserva exactamente igual que en el siglo XIX, con losa de Tarifa en sus calles y albero en sus suelos. Las centenarias botas reposan sobre bajetes de piedra ostionera y están protegidas por altos techos de madera, que contribuyen a mantener una temperatura estable durante todo el año. Las características de la bodega y su especial ubicación permiten un desarrollo óptimo del velo de flor, logrando una crianza biológica perpetua que mantiene su vigor incluso en los días más calurosos del verano y en los más fríos del invierno. Esto confiere a los vinos una calidad única. Todos los vinos son criados y envejecidos artesanalmente en botas centenarias de roble americano, siguiendo los antiguos procedimientos bodegueros de Sanlúcar. Los vinos son trasegados «a jarra y canoa», sacados a mano y embotellados en rama, «de la bota a la botella». Estos vinos naturales no han sido sometidos a tratamientos ni procedimientos industriales, lo que permite disfrutarlos en toda su dimensión. Constituyen una verdadera vuelta a las sensaciones de antaño."
Bodegas Altanza,Jerez de la Frontera,"Calle Asta 2, Jerez de la Frontera",+34 644 793 915,,https://galeriadeljerez.com/,36.6900425,-6.1436726,https://www.facebook.com/GaleriadelJerez-104239348044069 | https://www.instagram.com/galeriadeljerez/,Visita guiada bodega y museo | Museo del Vino de Jerez | Sherry & Flamenco | Visitas nocturnas | Jerez y los 5 Sentidos | Brindis al Jerez | Cata a la Flamenca,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-altanza,bodegas-altanza,"Bodegas Altanza se instaló en el Marco de Jerez en 2019, de la mano de Roberto Amillo, en unas bodegas centenarias rehabilitadas ubicadas en pleno Barrio de Santiago, en Jerez de la Frontera. Fieles a su compromiso con la calidad y la tradición, en Bodegas Altanza se elaboran vinos, brandies y vermuts de primer nivel. Sus instalaciones están compuestas por dos naves, entre las que se ubica un patio central. En una de ellas descansan los vinos de Bodegas Altanza marca “Colección Roberto Amillo”. Se trata de un lugar idílico para la organización de todo tipo de eventos, especialmente eventos empresariales. En la otra nave se encuentra la colección más grande del mundo sobre objetos del vino y brandy de Jerez, que abarca fototeca, archivos, publicidad, filmoteca, etiquetas, entre muchos más."
Bodegas Barbadillo,Sanlúcar de Barrameda,"Calle Luis Eguilaz, 11, Sanlúcar de Barrameda",+34 667 493 307,,https://www.barbadillo.com/,36.7766384,-6.3497652,https://twitter.com/barbadillo | https://www.facebook.com/bodegas.barbadillo | https://www.instagram.com/bodegasbarbadillo/ | https://www.youtube.com/user/BarbadilloCo,Museo de la Manzanilla | Tienda de vinos | Visitas guiadas a bodegas | Catas de vinos | Eventos,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-barbadillo,bodegas-barbadillo,"Fundada en 1821 en Sanlúcar de Barrameda y con seis generaciones de experiencia, Bodegas Barbadillo cumple una tradición centenaria como bodega 100% familiar productora de las denominaciones, Jerez-Xeres-Sherry, Brandy de Jerez, Vinagre de Jerez, Vinos de la Tierra de Cádiz y D.O. Manzanilla-Sanlúcar de Barrameda. Desde su fundación Barbadillo no ha dejado de evolucionar, buscando siempre vinos que sorprendan y dejen huella. Propietaria de más de 500 hectáreas de viñedos, 16 bodegas de crianza en Sanlúcar de Barrameda y una planta de vinificación de uvas blancas y tintas, Bodegas Barbadillo es una de las mayores bodegas del Marco de Jerez. La bodega controla todos los procesos desde la viña, crianza, embotellado y distribución. Actualmente ostenta las certificaciones de Calidad ISO 9.001, 14.001 y Etiqueta Medio Ambiental Doñana 21. Asimismo, en 2002 se inauguró el Museo Barbadillo de la Manzanilla, abriendo al público su riquísimo y centenario patrimonio bodeguero, uno de los más importantes de España."
Bodegas Barón,Sanlúcar de Barrameda,"Calle Molinillo 2ª, 2, 11540 Sanlúcar de Barrameda (Cádiz)",+34 627 73 25 01,jose@baronsherryvip.com,https://bodegasbaron.es/,36.7733302,-6.3559774,https://twitter.com/BodegasBaron | https://www.facebook.com/BodegasBaronSa | https://www.instagram.com/bodegasbaron/ | https://www.youtube.com/channel/UChOBCS3k_bv6h6lt8ANNo_g,Visita guiada con cata de vinos y tapas | Tienda de vinos | Espacios para eventos,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-baron,bodegas-baron,"Las Bodegas Barón están ubicadas en el barrio alto de Sanlúcar de Barrameda, frente a la desembocadura del río Guadalquivir, expuestas a la brisa marina del Atlántico. La bodega la forman varias naves de criaderas y soleras, en las que elaboran la Manzanilla y el Fino, en la variedad de vinos bajo velo de flor, y el Oloroso, Amontillado, Cream, Moscatel, Pedro Ximénez y Medium, en la variedad de vinos de crianza oxidativa, lo que da vida a las marcas de Pino Viejo, Micaela, Atalaya, Barón, Xixarito y Soluqua. Sus naves centrales datan de 1631 y continúan albergando las antiquísimas soleras de D. Anselmo Paz. La penumbra de sus bodegas es más recia y más íntima, la humedad de sus suelos es constante, los rociados son de poca cantidad pero frecuentes, todo ello unido al envejecido en sus botas de roble americano, hacen de estos vinos un lujo al paladar. Las visitas guiadas en bodega con cata de vinos son un camino lleno de momentos sensoriales y culturales que hacen que conectes con la tierra, la cultura e incluso la historia detrás de cada copa de vino. Si tienes curiosidad de saber qué se siente, no dudes en vivir esta experiencia de la mano de Bodegas Barón."
Bodegas Caydsa,Sanlúcar de Barrameda,Calle Puerto 21,+34 956 332 050,visitasbodegascaydsa@gmail.com,https://www.caydsa.es/cooperativa-caydsa-visitas/,36.7718692,-6.3536289,https://www.instagram.com/bodegascaydsa/,Visita guiada | Cata de vinos | Eventos,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-caydsa,bodegas-caydsa,"Bodegas CAYDSA es una invitación a descubrir el alma más auténtica de Sanlúcar de Barrameda. Situada en el emblemático Barrio Alto y con cerca de dos siglos de historia, esta bodega centenaria permite adentrarse en un universo donde la tradición, el arraigo al viñedo y la identidad sanluqueña se sienten en cada rincón. Su origen cooperativo refleja, además, el esfuerzo compartido de generaciones de viticultores que han sabido preservar la esencia de un territorio único. Visitar CAYDSA es acercarse a la cultura del vino desde la emoción, la memoria y el paisaje. Entre botas, aromas y silencio bodeguero, el visitante conecta con la historia viva de Sanlúcar y con unos vinos que nacen del vínculo profundo entre la tierra, la brisa atlántica y el saber hacer de quienes han convertido este legado en parte de su vida. Una experiencia para saborear el tiempo, comprender el valor de lo auténtico y dejarse llevar por el carácter inconfundible del Marco de Jerez."
Bodegas Cayetano Del Pino,Jerez de la Frontera,"Plaza Silos 3, Jerez de la Frontera",+34 676 70 79 13,reservas@cayetanodelpino.com,https://cayetanodelpino.com/visitas,36.6786969,-6.1396926,https://twitter.com/CayetanodelPino | https://www.facebook.com/bodegascayetanodelpino | https://www.instagram.com/cayetanodelpino/,Visita guiada a bodega y cata de vinos | Tienda de vinos y souvenirs,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-cayetano-del-pino,bodegas-cayetano-del-pino,"Cayetano del Pino y Cía. es una bodega de Jerez fundada en 1886. Una compañía bodeguera que a lo largo de su historia ha aunado la tradición y a la innovación. Su situación céntrica en la collación del jerezano barrio de San Miguel y su pequeño casco datado de mediados del siglo XIX, hacen de Cayetano del Pino un rincón imprescindible para los amantes del enoturismo jerezano. De la misma manera, sus vinos de calidad superior son el resultado de años de crianza y redondez en sus soleras añejas de roble americano."
