ruta,servicios,pct_del_total
Ribera del Duero,334,10.85
Penedès,250,8.12
Rías Baixas,247,8.02
Madrid,148,4.81
Rioja Alavesa,146,4.53
Rioja Alta,112,3.64
Marco de Jerez,111,3.61
BierzoEnoturismo,106,3.44
Rueda,97,3.15
Somontano,97,3.15
Rioja Oriental,93,3.02
Arlanza,86,2.79
Arribes,83,2.7
Sierra de Francia,79,2.57
Cigales,73,2.37
Alicante,70,2.27
La Mancha,69,2.24
Montilla-Moriles,69,2.24
Lleida,67,2.18
La Manchuela,65,2.11
Jumilla,63,2.05
Navarra,63,2.05
Toro,62,2.01
Utiel-Requena,62,2.01
Garnacha,60,1.95
Gran Canaria,57,1.85
Méntrida-Toledo,56,1.82
Ronda-Málaga,56,1.82
Valdepeñas,52,1.69
Cariñena,49,1.59
Zamora,47,1.53
Ribera del Guadiana,46,1.49
Bullas,44,1.43
Calatayud,33,1.07
Yecla,30,0.97
Almansa,25,0.81
Txakoli,17,0.55
