indicador,valor,unidad,categoria
Gasto medio diario,201.8,€,Impacto económico
Gasto medio por estancia,504.4,€,Impacto económico
Gasto medio diario del turista español,79.09,€,Impacto económico
Estancia media,2.85,días,Comportamiento
Tamaño medio del grupo,5.2,personas,Perfil
Mujeres,53.7,%,Perfil
Entre 46 y 65 años,36.46,%,Perfil
Aficionados al vino,36.8,%,Perfil
Llegan en vehículo propio o alquilado,75.6,%,Comportamiento
Han reservado online,63.06,%,Promoción y comercialización
Conocen la marca Rutas del Vino,60.99,%,Promoción y comercialización
Recomendados por familiares y amigos,33.83,%,Promoción y comercialización
Pernoctan en el destino,70.38,%,Comportamiento
Realizan visita a bodegas,70.91,%,Comportamiento
Bodegas visitadas de media,2.35,bodegas,Comportamiento
Motivación principal: enoturismo,39.49,%,Perfil
