AÑO,MES,PAIS_ORIGEN,CIUDAD_DESTINO,TIPO_ORIGEN,BUSQUEDAS,ANTELACION,ESTANCIA_MEDIA,VARIACION_INTERANUAL_BUSQUEDAS,fecha
2023,1,Albania,Jerez de la Frontera,Internacional,12,44.53,5.18,1100.0,2023-01-01
2023,1,Perú,Jerez de la Frontera,Internacional,148,125.88,27.63,1133.33,2023-01-01
2023,1,Países Bajos,Jerez de la Frontera,Internacional,4428,127.05,10.18,61.54,2023-01-01
2023,1,Paraguay,Jerez de la Frontera,Internacional,17,73.58,23.52,1600.0,2023-01-01
2023,1,Panamá,Jerez de la Frontera,Internacional,55,79.44,19.96,1275.0,2023-01-01
2023,1,Pakistán,Jerez de la Frontera,Internacional,2,5.0,7.0,0.0,2023-01-01
2023,1,Otros países de Asia,Jerez de la Frontera,Internacional,31,125.45,16.08,0.0,2023-01-01
2023,1,Omán,Jerez de la Frontera,Internacional,10,96.93,9.33,0.0,2023-01-01
2023,1,Nueva Zelanda,Jerez de la Frontera,Internacional,7,141.4,15.5,0.0,2023-01-01
2023,1,Noruega,Jerez de la Frontera,Internacional,250,78.57,7.82,242.46,2023-01-01
2023,1,Nigeria,Jerez de la Frontera,Internacional,4,47.83,33.33,-33.33,2023-01-01
2023,1,Nicaragua,Jerez de la Frontera,Internacional,72,32.06,82.21,0.0,2023-01-01
2023,1,México,Jerez de la Frontera,Internacional,383,89.44,22.52,650.98,2023-01-01
2023,1,Mozambique,Jerez de la Frontera,Internacional,274,25.69,6.0,0.0,2023-01-01
2023,1,Montenegro,Jerez de la Frontera,Internacional,13,57.42,6.94,160.0,2023-01-01
2023,1,Moldavia,Jerez de la Frontera,Internacional,28,25.45,5.39,2700.0,2023-01-01
2023,1,Mauritania,Jerez de la Frontera,Internacional,43,7.37,14.8,0.0,2023-01-01
2023,1,Marruecos,Jerez de la Frontera,Internacional,287,49.19,5.89,4000.0,2023-01-01
