ANYOMES,TIPO_ORIGEN,PAIS_ORIGEN,CIUDAD_DESTINO,ASIENTOS,DISTANCIA_MEDIA,VARIACION_INTERANUAL_ASIENTOS,AÑO,MES,fecha
202301,Nacional,España,Jerez de la Frontera,25826,777.66,55.79,2023,1,2023-01-01
202301,Internacional,Total,Jerez de la Frontera,1224,1898.66,-48.31,2023,1,2023-01-01
202301,Nacional,Total,Jerez de la Frontera,25826,777.66,55.79,2023,1,2023-01-01
202301,Internacional,Alemania,Jerez de la Frontera,1224,1898.66,,2023,1,2023-01-01
202302,Internacional,Alemania,Jerez de la Frontera,1845,1917.5,39.45,2023,2,2023-02-01
202302,Nacional,España,Jerez de la Frontera,23095,787.6,55.02,2023,2,2023-02-01
202302,Internacional,Total,Jerez de la Frontera,1845,1917.5,-46.84,2023,2,2023-02-01
202302,Nacional,Total,Jerez de la Frontera,23095,787.6,55.02,2023,2,2023-02-01
202303,Internacional,Alemania,Jerez de la Frontera,8181,1972.3,-8.22,2023,3,2023-03-01
202303,Nacional,España,Jerez de la Frontera,27045,712.83,44.86,2023,3,2023-03-01
202303,Internacional,Reino Unido,Jerez de la Frontera,575,1752.0,52.11,2023,3,2023-03-01
202303,Internacional,Total,Jerez de la Frontera,8756,1862.15,-21.46,2023,3,2023-03-01
202303,Nacional,Total,Jerez de la Frontera,27045,712.83,44.86,2023,3,2023-03-01
202304,Internacional,Total,Jerez de la Frontera,18959,1667.58,-11.13,2023,4,2023-04-01
202304,Internacional,Reino Unido,Jerez de la Frontera,2489,1752.0,1.3,2023,4,2023-04-01
202304,Internacional,Luxemburgo,Jerez de la Frontera,705,1736.0,-20.33,2023,4,2023-04-01
202304,Nacional,Total,Jerez de la Frontera,31317,755.35,19.95,2023,4,2023-04-01
202304,Internacional,Bélgica,Jerez de la Frontera,1569,1233.33,201.73,2023,4,2023-04-01
202304,Internacional,Alemania,Jerez de la Frontera,14196,1949.0,-8.36,2023,4,2023-04-01
202304,Nacional,España,Jerez de la Frontera,31317,755.35,19.95,2023,4,2023-04-01
202305,Internacional,Alemania,Jerez de la Frontera,16165,1973.75,-20.26,2023,5,2023-05-01
202305,Internacional,Bélgica,Jerez de la Frontera,1388,1233.33,147.85,2023,5,2023-05-01
202305,Nacional,España,Jerez de la Frontera,31888,746.43,20.74,2023,5,2023-05-01
202305,Internacional,Luxemburgo,Jerez de la Frontera,609,1736.0,-1.45,2023,5,2023-05-01
202305,Internacional,Reino Unido,Jerez de la Frontera,3253,1708.5,1.24,2023,5,2023-05-01
202305,Internacional,Total,Jerez de la Frontera,21415,1662.89,-22.65,2023,5,2023-05-01
202305,Nacional,Total,Jerez de la Frontera,31888,746.43,20.74,2023,5,2023-05-01
