pais,busquedas,antelacion_busqueda,estancia_prevista,reservas,antelacion_reserva,conversion_pct
España,7016416.0,151.35,5.08,138135.0,137.51,1.97
Alemania,5109176.0,166.59,9.63,71713.0,197.1,1.4
Reino Unido,1384148.0,151.37,6.83,2861.0,115.4,0.21
Italia,633809.0,131.63,5.91,6780.0,72.92,1.07
Estados Unidos de América,621324.0,119.53,12.85,36482.0,91.6,5.87
Francia,590577.0,124.86,7.24,3631.0,87.27,0.61
Países Bajos,421559.0,157.55,7.83,660.0,83.28,0.16
Suiza,413731.0,160.46,8.42,12761.0,166.44,3.08
Bélgica,317162.0,152.9,7.5,2283.0,140.23,0.72
Polonia,279900.0,128.18,7.59,171.0,46.63,0.06
Portugal,126247.0,123.43,5.78,651.0,56.06,0.52
Austria,126066.0,143.02,8.7,3038.0,145.34,2.41
Irlanda,111739.0,136.37,7.0,88.0,75.75,0.08
Dinamarca,76678.0,126.9,8.67,428.0,65.1,0.56
Suecia,66903.0,116.32,8.87,650.0,101.67,0.97
Luxemburgo,60296.0,169.08,8.78,2347.0,195.78,3.89
República Checa,40985.0,123.82,8.3,346.0,82.91,0.84
Noruega,36170.0,103.56,8.37,324.0,79.2,0.9
Hungría,25384.0,143.53,6.92,158.0,74.37,0.62
México,25256.0,92.33,17.03,1412.0,101.27,5.59
Grecia,25120.0,103.85,6.73,344.0,36.32,1.37
Colombia,23470.0,108.59,24.37,1343.0,93.21,5.72
Canadá,22236.0,111.33,13.78,297.0,71.02,1.34
Finlandia,20122.0,107.92,8.24,96.0,45.91,0.48
Rumanía,19654.0,100.39,7.66,129.0,31.0,0.66
Brasil,18456.0,101.18,16.58,1189.0,99.47,6.44
Marruecos,17116.0,81.17,7.4,37.0,35.43,0.22
Estonia,12624.0,129.54,8.68,84.0,79.63,0.67
Chile,11930.0,112.09,19.37,959.0,126.38,8.04
Japón,11243.0,92.47,11.06,761.0,150.12,6.77
Turquía,10986.0,91.01,9.04,156.0,39.24,1.42
Croacia,10589.0,100.62,7.86,96.0,38.89,0.91
Israel,8704.0,137.87,8.31,188.0,60.38,2.16
Argentina,8199.0,103.89,23.29,1281.0,154.02,15.62
Perú,7643.0,110.2,21.31,840.0,97.21,10.99
Letonia,7206.0,124.61,8.27,34.0,28.0,0.47
Serbia,7150.0,104.07,8.24,22.0,41.2,0.31
Australia,7144.0,112.67,16.45,368.0,115.73,5.15
República Eslovaca,7068.0,109.16,8.49,3.0,13.0,0.04
Lituania,7039.0,103.92,8.63,18.0,40.04,0.26
Eslovenia,6882.0,128.81,7.02,2.0,136.0,0.03
Bulgaria,6581.0,102.11,6.56,56.0,26.29,0.85
Emiratos Árabes Unidos,6419.0,107.1,9.06,265.0,74.16,4.13
Mozambique,4929.0,55.54,7.6,10.0,8.32,0.2
Arabia Saudí,4657.0,68.66,11.77,463.0,56.96,9.94
Malta,4292.0,112.18,5.8,0.0,,0.0
China,4170.0,76.99,13.93,217.0,100.36,5.2
India,3500.0,57.36,9.89,112.0,48.63,3.2
