AÑO,MES,PAIS_ORIGEN,CIUDAD_DESTINO,TIPO_ORIGEN,PASAJEROS,ANTELACION,ESTANCIA_MEDIA,VARIACION_INTERANUAL_PASAJEROS,fecha
2023,1,Alemania,Jerez de la Frontera,Internacional,1149,172.9,26.14,158.78,2023-01-01
2023,1,Kazajstán,Jerez de la Frontera,Internacional,2,236.0,42.0,0.0,2023-01-01
2023,1,Kuwait,Jerez de la Frontera,Internacional,20,19.8,32.0,0.0,2023-01-01
2023,1,Luxemburgo,Jerez de la Frontera,Internacional,0,,,0.0,2023-01-01
2023,1,Mali,Jerez de la Frontera,Internacional,2,55.0,40.0,0.0,2023-01-01
2023,1,Marruecos,Jerez de la Frontera,Internacional,3,17.0,8.0,200.0,2023-01-01
2023,1,Mauritania,Jerez de la Frontera,Internacional,4,50.0,1.0,0.0,2023-01-01
2023,1,Moldavia,Jerez de la Frontera,Internacional,8,27.1,14.8,0.0,2023-01-01
2023,1,México,Jerez de la Frontera,Internacional,30,17.54,70.52,-14.28,2023-01-01
2023,1,Nicaragua,Jerez de la Frontera,Internacional,5,44.11,45.68,0.0,2023-01-01
2023,1,Noruega,Jerez de la Frontera,Internacional,9,19.0,3.5,0.0,2023-01-01
2023,1,Omán,Jerez de la Frontera,Internacional,1,78.0,107.0,0.0,2023-01-01
2023,1,Otros países de Asia,Jerez de la Frontera,Internacional,9,25.33,53.17,0.0,2023-01-01
2023,1,Países Bajos,Jerez de la Frontera,Internacional,3,20.67,24.67,-76.92,2023-01-01
2023,1,Perú,Jerez de la Frontera,Internacional,5,55.33,20.66,66.66,2023-01-01
2023,1,Polonia,Jerez de la Frontera,Internacional,5,36.0,15.0,0.0,2023-01-01
2023,1,Portugal,Jerez de la Frontera,Internacional,79,32.72,19.01,507.69,2023-01-01
2023,1,Qatar,Jerez de la Frontera,Internacional,8,8.0,15.63,-42.85,2023-01-01
2023,1,Zimbabwe,Jerez de la Frontera,Internacional,0,,,0.0,2023-01-01
2023,1,Venezuela,Jerez de la Frontera,Internacional,3,56.0,66.0,0.0,2023-01-01
2023,1,Uruguay,Jerez de la Frontera,Internacional,6,24.8,27.4,50.0,2023-01-01
2023,1,Total,Jerez de la Frontera,Nacional,5156,71.81,10.15,89.0,2023-01-01
2023,1,Total,Jerez de la Frontera,Internacional,5936,54.43,30.29,79.22,2023-01-01
2023,1,Tanzania,Jerez de la Frontera,Internacional,3,60.0,4.0,0.0,2023-01-01
2023,1,Jordania,Jerez de la Frontera,Internacional,5,61.16,18.33,0.0,2023-01-01
2023,1,Suiza,Jerez de la Frontera,Internacional,92,65.69,7.25,76.92,2023-01-01
2023,1,Sudáfrica,Jerez de la Frontera,Internacional,0,,,-100.0,2023-01-01
2023,1,Serbia,Jerez de la Frontera,Internacional,2,1.0,7.0,0.0,2023-01-01
2023,1,Rumanía,Jerez de la Frontera,Internacional,8,30.5,14.0,0.0,2023-01-01
2023,1,República Dominicana,Jerez de la Frontera,Internacional,8,21.06,45.0,33.33,2023-01-01
2023,1,República Checa,Jerez de la Frontera,Internacional,10,44.14,16.66,400.0,2023-01-01
2023,1,Reino Unido,Jerez de la Frontera,Internacional,73,73.3,13.12,461.53,2023-01-01
2023,1,Suecia,Jerez de la Frontera,Internacional,11,65.95,22.44,0.0,2023-01-01
2023,1,Japón,Jerez de la Frontera,Internacional,20,63.3,33.75,-1100.0,2023-01-01
2023,1,Panamá,Jerez de la Frontera,Internacional,4,48.5,45.0,-500.0,2023-01-01
2023,1,Israel,Jerez de la Frontera,Internacional,2,7.0,6.0,0.0,2023-01-01
2023,1,Colombia,Jerez de la Frontera,Internacional,28,56.03,17.22,-22.22,2023-01-01
2023,1,Chipre,Jerez de la Frontera,Internacional,0,,,0.0,2023-01-01
2023,1,Chile,Jerez de la Frontera,Internacional,11,56.37,18.0,-56.0,2023-01-01
2023,1,Canadá,Jerez de la Frontera,Internacional,6,47.25,14.75,0.0,2023-01-01
2023,1,Bélgica,Jerez de la Frontera,Internacional,71,64.65,10.31,162.96,2023-01-01
2023,1,Bulgaria,Jerez de la Frontera,Internacional,6,2.0,11.0,-700.0,2023-01-01
2023,1,Corea,Jerez de la Frontera,Internacional,0,,,0.0,2023-01-01
2023,1,Brasil,Jerez de la Frontera,Internacional,40,57.96,110.5,1233.33,2023-01-01
2023,1,Bahréin,Jerez de la Frontera,Internacional,10,36.0,10.12,-23.07,2023-01-01
2023,1,Austria,Jerez de la Frontera,Internacional,83,149.68,20.32,591.66,2023-01-01
2023,1,Australia,Jerez de la Frontera,Internacional,0,,,0.0,2023-01-01
2023,1,Argentina,Jerez de la Frontera,Internacional,16,242.04,280.03,166.66,2023-01-01
2023,1,Italia,Jerez de la Frontera,Internacional,204,36.49,8.0,34.21,2023-01-01
2023,1,Arabia Saudí,Jerez de la Frontera,Internacional,5,62.75,21.0,-89.13,2023-01-01
2023,1,Bolivia,Jerez de la Frontera,Internacional,6,68.0,25.0,0.0,2023-01-01
2023,1,Costa Rica,Jerez de la Frontera,Internacional,1,107.0,89.0,-83.33,2023-01-01
2023,1,Argelia,Jerez de la Frontera,Internacional,0,,,-100.0,2023-01-01
2023,1,Cuba,Jerez de la Frontera,Internacional,1,5.0,17.0,0.0,2023-01-01
2023,1,Croacia,Jerez de la Frontera,Internacional,6,51.5,22.5,0.0,2023-01-01
2023,1,India,Jerez de la Frontera,Internacional,2,-60.66,-19.83,0.0,2023-01-01
2023,1,Hungría,Jerez de la Frontera,Internacional,3,51.0,6.66,0.0,2023-01-01
2023,1,Grecia,Jerez de la Frontera,Internacional,-1,-17.0,-10.0,-120.0,2023-01-01
2023,1,Francia,Jerez de la Frontera,Internacional,99,58.03,6.38,253.57,2023-01-01
2023,1,Finlandia,Jerez de la Frontera,Internacional,2,1.0,20.0,0.0,2023-01-01
