ANYOMES,TIPO_ORIGEN,PAIS_ORIGEN,CIUDAD_DESTINO,PASAJEROS,VARIACION_INTERANUAL,AÑO,MES,fecha
202301,Nacional,España,Jerez de la Frontera,21148,87.28,2023,1,2023-01-01
202301,Nacional,Total,Jerez de la Frontera,21148,87.28,2023,1,2023-01-01
202301,Internacional,Total,Jerez de la Frontera,687,-60.69,2023,1,2023-01-01
202301,Internacional,Alemania,Jerez de la Frontera,687,,2023,1,2023-01-01
202302,Nacional,España,Jerez de la Frontera,19862,66.78,2023,2,2023-02-01
202302,Nacional,Total,Jerez de la Frontera,19862,66.78,2023,2,2023-02-01
202302,Internacional,Alemania,Jerez de la Frontera,1133,83.63,2023,2,2023-02-01
202302,Internacional,Total,Jerez de la Frontera,1133,-51.76,2023,2,2023-02-01
202303,Nacional,España,Jerez de la Frontera,23701,56.77,2023,3,2023-03-01
202303,Nacional,Total,Jerez de la Frontera,23701,56.77,2023,3,2023-03-01
202303,Internacional,Alemania,Jerez de la Frontera,6158,14.39,2023,3,2023-03-01
202303,Internacional,Reino Unido,Jerez de la Frontera,505,65.03,2023,3,2023-03-01
202303,Internacional,Total,Jerez de la Frontera,6663,-6.64,2023,3,2023-03-01
202304,Internacional,Total,Jerez de la Frontera,14537,-13.32,2023,4,2023-04-01
202304,Internacional,Reino Unido,Jerez de la Frontera,2216,1.14,2023,4,2023-04-01
202304,Internacional,Luxemburgo,Jerez de la Frontera,600,-30.23,2023,4,2023-04-01
202304,Nacional,Total,Jerez de la Frontera,29045,39.59,2023,4,2023-04-01
202304,Internacional,Alemania,Jerez de la Frontera,11020,-4.79,2023,4,2023-04-01
202304,Nacional,España,Jerez de la Frontera,29045,39.59,2023,4,2023-04-01
202304,Internacional,Bélgica,Jerez de la Frontera,701,45.73,2023,4,2023-04-01
202305,Nacional,España,Jerez de la Frontera,29306,45.26,2023,5,2023-05-01
202305,Nacional,Total,Jerez de la Frontera,29306,45.26,2023,5,2023-05-01
202305,Internacional,Alemania,Jerez de la Frontera,13508,-21.22,2023,5,2023-05-01
202305,Internacional,Bélgica,Jerez de la Frontera,1093,116.43,2023,5,2023-05-01
202305,Internacional,Luxemburgo,Jerez de la Frontera,552,-13.75,2023,5,2023-05-01
202305,Internacional,Reino Unido,Jerez de la Frontera,2828,5.95,2023,5,2023-05-01
202305,Internacional,Total,Jerez de la Frontera,17981,-23.59,2023,5,2023-05-01
202306,Internacional,Total,Jerez de la Frontera,19623,-17.9,2023,6,2023-06-01
202306,Internacional,Suiza,Jerez de la Frontera,126,,2023,6,2023-06-01
202306,Internacional,Reino Unido,Jerez de la Frontera,3075,8.23,2023,6,2023-06-01
202306,Internacional,Luxemburgo,Jerez de la Frontera,516,-25.86,2023,6,2023-06-01
202306,Internacional,Alemania,Jerez de la Frontera,14674,-20.66,2023,6,2023-06-01
202306,Nacional,Total,Jerez de la Frontera,27635,16.23,2023,6,2023-06-01
202306,Nacional,España,Jerez de la Frontera,27635,16.23,2023,6,2023-06-01
202306,Internacional,Bélgica,Jerez de la Frontera,1232,217.52,2023,6,2023-06-01
202307,Nacional,España,Jerez de la Frontera,29130,-5.09,2023,7,2023-07-01
202307,Nacional,Total,Jerez de la Frontera,29130,-5.09,2023,7,2023-07-01
202307,Internacional,Alemania,Jerez de la Frontera,14342,-16.41,2023,7,2023-07-01
202307,Internacional,Bélgica,Jerez de la Frontera,709,-17.07,2023,7,2023-07-01
202307,Internacional,Luxemburgo,Jerez de la Frontera,580,4.5,2023,7,2023-07-01
202307,Internacional,Reino Unido,Jerez de la Frontera,2951,-32.16,2023,7,2023-07-01
202307,Internacional,Suiza,Jerez de la Frontera,1179,16.38,2023,7,2023-07-01
202307,Internacional,Total,Jerez de la Frontera,19761,-23.14,2023,7,2023-07-01
202308,Internacional,Bélgica,Jerez de la Frontera,496,-36.08,2023,8,2023-08-01
202308,Internacional,Total,Jerez de la Frontera,19055,-32.14,2023,8,2023-08-01
202308,Internacional,Suiza,Jerez de la Frontera,1188,10.0,2023,8,2023-08-01
202308,Internacional,Reino Unido,Jerez de la Frontera,3140,-28.49,2023,8,2023-08-01
202308,Internacional,Alemania,Jerez de la Frontera,13767,-29.51,2023,8,2023-08-01
202308,Nacional,Total,Jerez de la Frontera,29123,-8.52,2023,8,2023-08-01
202308,Nacional,España,Jerez de la Frontera,29123,-8.52,2023,8,2023-08-01
202308,Internacional,Luxemburgo,Jerez de la Frontera,464,-7.93,2023,8,2023-08-01
202309,Internacional,Total,Jerez de la Frontera,20556,-24.4,2023,9,2023-09-01
202309,Nacional,España,Jerez de la Frontera,28275,3.19,2023,9,2023-09-01
202309,Nacional,Total,Jerez de la Frontera,28275,3.19,2023,9,2023-09-01
202309,Internacional,Alemania,Jerez de la Frontera,15402,-19.63,2023,9,2023-09-01
202309,Internacional,Bélgica,Jerez de la Frontera,651,41.21,2023,9,2023-09-01
202309,Internacional,Luxemburgo,Jerez de la Frontera,565,-7.98,2023,9,2023-09-01
202309,Internacional,Reino Unido,Jerez de la Frontera,2807,-33.87,2023,9,2023-09-01
202309,Internacional,Suiza,Jerez de la Frontera,1003,10.46,2023,9,2023-09-01
202309,Internacional,Egipto,Jerez de la Frontera,128,,2023,9,2023-09-01
202310,Internacional,Reino Unido,Jerez de la Frontera,2630,-24.55,2023,10,2023-10-01
202310,Internacional,Total,Jerez de la Frontera,19480,-21.3,2023,10,2023-10-01
