ANYOMES,PASAJEROS_TOTALES,PASAJEROS_CRUCERO,CRUCEROS,CCAA,AUT_PORTUARIA,AÑO,MES,fecha
202201,12826,11258,11,Andalucía,BAHÍA DE CÁDIZ,2022,1,2022-01-01
202202,2899,1800,7,Andalucía,BAHÍA DE CÁDIZ,2022,2,2022-02-01
202203,20502,19196,17,Andalucía,BAHÍA DE CÁDIZ,2022,3,2022-03-01
202204,33240,31932,42,Andalucía,BAHÍA DE CÁDIZ,2022,4,2022-04-01
202205,34320,32415,34,Andalucía,BAHÍA DE CÁDIZ,2022,5,2022-05-01
202206,25304,23259,19,Andalucía,BAHÍA DE CÁDIZ,2022,6,2022-06-01
202207,48241,45823,26,Andalucía,BAHÍA DE CÁDIZ,2022,7,2022-07-01
202208,41044,37721,22,Andalucía,BAHÍA DE CÁDIZ,2022,8,2022-08-01
202209,47682,45477,28,Andalucía,BAHÍA DE CÁDIZ,2022,9,2022-09-01
202210,68395,66814,47,Andalucía,BAHÍA DE CÁDIZ,2022,10,2022-10-01
202211,55502,53947,42,Andalucía,BAHÍA DE CÁDIZ,2022,11,2022-11-01
202212,26140,24634,17,Andalucía,BAHÍA DE CÁDIZ,2022,12,2022-12-01
202301,33613,31862,13,Andalucía,BAHÍA DE CÁDIZ,2023,1,2023-01-01
202302,20845,19419,14,Andalucía,BAHÍA DE CÁDIZ,2023,2,2023-02-01
202303,24850,23558,16,Andalucía,BAHÍA DE CÁDIZ,2023,3,2023-03-01
202304,65643,63953,51,Andalucía,BAHÍA DE CÁDIZ,2023,4,2023-04-01
202305,62165,59840,37,Andalucía,BAHÍA DE CÁDIZ,2023,5,2023-05-01
202306,38418,36164,19,Andalucía,BAHÍA DE CÁDIZ,2023,6,2023-06-01
202307,66777,63284,24,Andalucía,BAHÍA DE CÁDIZ,2023,7,2023-07-01
202308,75898,73151,27,Andalucía,BAHÍA DE CÁDIZ,2023,8,2023-08-01
202309,81506,78781,37,Andalucía,BAHÍA DE CÁDIZ,2023,9,2023-09-01
202310,100179,97473,49,Andalucía,BAHÍA DE CÁDIZ,2023,10,2023-10-01
202311,91066,89383,51,Andalucía,BAHÍA DE CÁDIZ,2023,11,2023-11-01
202312,44235,42780,22,Andalucía,BAHÍA DE CÁDIZ,2023,12,2023-12-01
202401,33070,31253,12,Andalucía,BAHÍA DE CÁDIZ,2024,1,2024-01-01
202402,12721,11211,5,Andalucía,BAHÍA DE CÁDIZ,2024,2,2024-02-01
202403,22947,21469,14,Andalucía,BAHÍA DE CÁDIZ,2024,3,2024-03-01
202404,64693,62092,39,Andalucía,BAHÍA DE CÁDIZ,2024,4,2024-04-01
202405,68957,65712,33,Andalucía,BAHÍA DE CÁDIZ,2024,5,2024-05-01
202406,50437,46550,25,Andalucía,BAHÍA DE CÁDIZ,2024,6,2024-06-01
202407,72758,67307,21,Andalucía,BAHÍA DE CÁDIZ,2024,7,2024-07-01
202408,76438,70899,28,Andalucía,BAHÍA DE CÁDIZ,2024,8,2024-08-01
202409,96452,91611,40,Andalucía,BAHÍA DE CÁDIZ,2024,9,2024-09-01
202410,99259,95826,54,Andalucía,BAHÍA DE CÁDIZ,2024,10,2024-10-01
202411,97820,94099,56,Andalucía,BAHÍA DE CÁDIZ,2024,11,2024-11-01
202412,40944,38122,24,Andalucía,BAHÍA DE CÁDIZ,2024,12,2024-12-01
202501,15114,12519,9,Andalucía,BAHÍA DE CÁDIZ,2025,1,2025-01-01
202502,9224,6322,7,Andalucía,BAHÍA DE CÁDIZ,2025,2,2025-02-01
202503,25586,22636,21,Andalucía,BAHÍA DE CÁDIZ,2025,3,2025-03-01
202504,75329,72272,47,Andalucía,BAHÍA DE CÁDIZ,2025,4,2025-04-01
202505,58868,55003,31,Andalucía,BAHÍA DE CÁDIZ,2025,5,2025-05-01
202506,45759,41355,26,Andalucía,BAHÍA DE CÁDIZ,2025,6,2025-06-01
202507,79612,74637,28,Andalucía,BAHÍA DE CÁDIZ,2025,7,2025-07-01
202508,66046,60430,27,Andalucía,BAHÍA DE CÁDIZ,2025,8,2025-08-01
202509,89978,84891,40,Andalucía,BAHÍA DE CÁDIZ,2025,9,2025-09-01
202510,99960,96147,51,Andalucía,BAHÍA DE CÁDIZ,2025,10,2025-10-01
202511,66866,63908,47,Andalucía,BAHÍA DE CÁDIZ,2025,11,2025-11-01
202512,37365,34420,26,Andalucía,BAHÍA DE CÁDIZ,2025,12,2025-12-01
202601,20312,17321,13,Andalucía,BAHÍA DE CÁDIZ,2026,1,2026-01-01
202602,5716,3162,5,Andalucía,BAHÍA DE CÁDIZ,2026,2,2026-02-01
202603,43446,40342,25,Andalucía,BAHÍA DE CÁDIZ,2026,3,2026-03-01
202604,68604,65761,46,Andalucía,BAHÍA DE CÁDIZ,2026,4,2026-04-01
202605,68881,65476,33,Andalucía,BAHÍA DE CÁDIZ,2026,5,2026-05-01
