ANYOMES,PROVINCIA_DESTINO,TIPO_ORIGEN,GASTO,TRANSACCION,AÑO,MES
202401,Cádiz,Internacional,4627873.14,126301,2024,1
202401,Cádiz,Interregional,5169986.33,188256,2024,1
202401,Cádiz,Regional,7123256.22,247788,2024,1
202401,Cádiz,Total Nacional,12293242.55,436044,2024,1
202402,Cádiz,Internacional,5002072.64,144953,2024,2
202402,Cádiz,Interregional,5699788.18,212995,2024,2
202402,Cádiz,Regional,8099596.94,307622,2024,2
202402,Cádiz,Total Nacional,13799385.12,520617,2024,2
202403,Cádiz,Total Nacional,18163097.79,600359,2024,3
202403,Cádiz,Internacional,6406591.64,169632,2024,3
202403,Cádiz,Interregional,9218356.54,292751,2024,3
202403,Cádiz,Regional,8944741.25,307608,2024,3
202404,Cádiz,Total Nacional,17742335.06,612395,2024,4
202404,Cádiz,Internacional,8090400.56,212507,2024,4
202404,Cádiz,Interregional,7853884.32,260164,2024,4
202404,Cádiz,Regional,9888450.74,352231,2024,4
202405,Cádiz,Internacional,9337820.88,235200,2024,5
202405,Cádiz,Interregional,11407162.1,361777,2024,5
202405,Cádiz,Regional,12186951.11,421360,2024,5
202405,Cádiz,Total Nacional,23594113.21,783137,2024,5
202406,Cádiz,Internacional,8322215.61,214234,2024,6
202406,Cádiz,Interregional,14983719.02,411686,2024,6
202406,Cádiz,Regional,15648327.38,530339,2024,6
202406,Cádiz,Total Nacional,30632046.4,942025,2024,6
202407,Cádiz,Total Nacional,62223517.68,1806091,2024,7
202407,Cádiz,Internacional,10070561.84,243027,2024,7
202407,Cádiz,Interregional,33199099.69,850600,2024,7
202407,Cádiz,Regional,29024417.99,955491,2024,7
202408,Cádiz,Internacional,10611752.57,263043,2024,8
202408,Cádiz,Interregional,49973533.97,1294194,2024,8
202408,Cádiz,Regional,34687177.4,1166351,2024,8
202408,Cádiz,Total Nacional,84660711.37,2460545,2024,8
202409,Cádiz,Total Nacional,29669955.51,914896,2024,9
202409,Cádiz,Internacional,8606461.54,214280,2024,9
202409,Cádiz,Interregional,15338055.73,434883,2024,9
202409,Cádiz,Regional,14331899.78,480013,2024,9
202410,Cádiz,Total Nacional,16186496.91,566572,2024,10
202410,Cádiz,Internacional,9205400.83,237561,2024,10
202410,Cádiz,Interregional,7620093.23,260048,2024,10
202410,Cádiz,Regional,8566403.68,306524,2024,10
202411,Cádiz,Internacional,5724936.59,166986,2024,11
202411,Cádiz,Interregional,6301227.24,227812,2024,11
202411,Cádiz,Regional,8570871.13,307041,2024,11
202411,Cádiz,Total Nacional,14872098.37,534853,2024,11
202412,Cádiz,Internacional,5155069.64,140046,2024,12
202412,Cádiz,Interregional,8659527.37,291819,2024,12
202412,Cádiz,Regional,10351010.71,358192,2024,12
202412,Cádiz,Total Nacional,19010538.08,650011,2024,12
202501,Cádiz,Total Nacional,13409715.27,483478,2025,1
202501,Cádiz,Internacional,4707428.81,132827,2025,1
202501,Cádiz,Interregional,5842843.61,215174,2025,1
202501,Cádiz,Regional,7566871.66,268304,2025,1
202502,Cádiz,Total Nacional,13386435.13,503490,2025,2
