AÑO,MES,PAIS_ORIGEN,CCAA,PROVINCIA,INIDICE_PERCEPCION_TURISTICA_GLOBAL,INDICE_SATISFACCION_PRODUCTOS_TURISTICOS,INDICE_PERCEPCION_SEGURIDAD,INDICE_PERCEPCION_CLIMATICA
2023,1,Alemania,Andalucía,Almería,80.49000000000001,57.29,100.0,100.0
2023,1,Alemania,Andalucía,Cádiz,30.53,26.17,,100.0
2023,1,Alemania,Andalucía,Córdoba,92.78,70.12,100.0,100.0
2023,1,Alemania,Andalucía,Granada,72.57000000000001,72.25,100.0,100.0
2023,1,Alemania,Andalucía,Huelva,100.0,66.81,100.0,100.0
2023,1,Alemania,Andalucía,Jaén,52.64,32.9,100.0,100.0
2023,1,Alemania,Andalucía,Málaga,87.85000000000001,64.45,100.0,90.88
2023,1,Alemania,Andalucía,Sevilla,83.05000000000001,73.9,100.0,100.0
2023,1,Dinamarca,Andalucía,Almería,79.74000000000001,65.80000000000001,100.0,100.0
2023,1,Dinamarca,Andalucía,Cádiz,100.0,65.80000000000001,100.0,100.0
2023,1,Dinamarca,Andalucía,Córdoba,,,100.0,100.0
2023,1,Dinamarca,Andalucía,Granada,93.34,89.41000000000001,100.0,100.0
2023,1,Dinamarca,Andalucía,Huelva,,,100.0,100.0
2023,1,Dinamarca,Andalucía,Jaén,,,100.0,100.0
2023,1,Dinamarca,Andalucía,Málaga,98.57,89.41000000000001,100.0,100.0
2023,1,Dinamarca,Andalucía,Sevilla,97.74,74.34,100.0,100.0
2023,1,España,Andalucía,Almería,75.77000000000001,53.1,74.16000000000001,89.41000000000001
2023,1,España,Andalucía,Cádiz,47.24,13.19,36.75,90.15
2023,1,España,Andalucía,Córdoba,91.45,65.99000000000001,82.37,92.5
2023,1,España,Andalucía,Granada,80.62,58.94,83.24000000000001,88.33000000000001
2023,1,España,Andalucía,Huelva,75.51,54.97,61.04,89.12
2023,1,España,Andalucía,Jaén,90.52,70.71000000000001,90.0,87.4
2023,1,España,Andalucía,Málaga,84.22000000000001,68.27000000000001,84.16000000000001,85.36000000000001
2023,1,España,Andalucía,Sevilla,78.63000000000001,52.26,76.7,92.59
