fecha,bodegas Jerez,bodegas Rioja,bodegas Ribera del Duero,bodegas Rías Baixas
2021-07-04,40,40,0,0
2021-07-11,48,56,15,0
2021-07-18,30,63,0,0
2021-07-25,78,58,15,0
2021-08-01,68,78,16,0
2021-08-08,70,100,29,0
2021-08-15,57,88,18,0
2021-08-22,44,81,17,0
2021-08-29,42,75,14,0
2021-09-05,48,73,19,0
2021-09-12,60,85,25,0
2021-09-19,44,79,30,0
2021-09-26,42,70,35,0
2021-10-03,44,91,18,0
2021-10-10,54,88,40,0
2021-10-17,39,66,24,0
2021-10-24,45,79,36,0
2021-10-31,32,71,19,0
2021-11-07,38,59,30,0
2021-11-14,36,62,29,0
2021-11-21,45,86,28,0
2021-11-28,33,58,23,0
2021-12-05,31,89,19,0
2021-12-12,24,51,18,0
2021-12-19,31,54,0,0
2021-12-26,31,51,0,0
2022-01-02,35,55,18,0
2022-01-09,29,46,20,0
2022-01-16,26,46,20,0
2022-01-23,27,52,26,0
2022-01-30,43,65,17,0
2022-02-06,38,66,27,0
2022-02-13,40,64,26,0
2022-02-20,32,62,18,0
2022-02-27,24,54,20,0
2022-03-06,35,53,15,0
2022-03-13,34,59,19,0
2022-03-20,34,68,22,0
2022-03-27,37,61,20,0
2022-04-03,34,70,23,0
2022-04-10,38,70,26,0
2022-04-17,42,67,25,0
2022-04-24,32,61,12,0
2022-05-01,42,65,21,0
2022-05-08,32,42,9,0
2022-05-15,44,57,15,0
2022-05-22,36,50,16,0
2022-05-29,37,50,11,0
2022-06-05,27,58,14,0
2022-06-12,28,43,12,0
2022-06-19,35,46,12,0
2022-06-26,44,55,17,0
2022-07-03,49,49,12,0
2022-07-10,47,67,20,0
2022-07-17,55,51,18,0
2022-07-24,59,56,18,0
2022-07-31,56,86,15,0
2022-08-07,65,72,23,0
2022-08-14,58,77,20,0
2022-08-21,38,68,13,0
2022-08-28,50,57,21,0
2022-09-04,52,50,22,0
2022-09-11,46,53,19,0
2022-09-18,44,47,13,0
2022-09-25,38,66,26,0
2022-10-02,34,74,14,0
2022-10-09,43,82,24,0
2022-10-16,38,77,27,0
2022-10-23,33,74,21,0
2022-10-30,34,82,18,0
2022-11-06,34,65,19,0
2022-11-13,39,59,17,0
2022-11-20,28,55,11,0
2022-11-27,35,85,22,0
2022-12-04,49,60,20,0
2022-12-11,33,47,15,0
2022-12-18,24,74,25,0
2022-12-25,41,71,22,0
2023-01-01,33,57,19,0
2023-01-08,30,39,16,0
2023-01-15,33,57,14,0
2023-01-22,35,55,20,0
2023-01-29,37,50,10,0
2023-02-05,34,63,15,0
2023-02-12,30,47,20,0
2023-02-19,37,51,17,0
2023-02-26,36,60,17,0
2023-03-05,32,58,21,0
2023-03-12,34,45,11,0
2023-03-19,36,59,21,0
2023-03-26,37,56,18,0
2023-04-02,44,63,18,0
2023-04-09,41,75,20,0
