place_id,bodega,nombre_google
ChIJuzDhKnDpDQ0Rn5wY5IqRKLg,Bodega Cooperativa Albarizas,Bodega Cooperativa Albarizas
ChIJWeCX9QrHDQ0RdOxgUQyppHY,Bodega Gago & Co. Barrels – Wines,Gago & Co. Barrels- Wines
ChIJF4fSjCbeDQ0RkwxO4AMECIY,Bodega Mar 7,Despacho de Vinos Mar 7
ChIJJe5ZUqTDDQ0Ri1n7x7fuPhM,"Bodega, Viña Y Casa Rural Santa Petronila",Casa Viña Santa Petronila
ChIJheymWBPHDQ0Raqn3DEyjvBc,Bodegas Altanza,Galería del Jerez - Bodegas Altanza
ChIJH8otECXeDQ0ROq84RPYJ4pE,Bodegas Barbadillo,Bodegas Barbadillo
ChIJz5AwEDDeDQ0R79vP5jtD7K0,Bodegas Barón,Bodegas Baron S.A.
ChIJBzO9TqrfDQ0Rz-YWUzPKW1U,Bodegas Caydsa,Bodega Caydsa
ChIJvxLzNJDGDQ0RJEvmuKpFSfw,Bodegas Cayetano Del Pino,Bodegas Cayetano del Pino. Vinos de Jerez. D.O. Jerez - Xérès - Sherry
ChIJA5892ezGDQ0Rw22ry350ez8,Bodegas Cortijo De Jara,Cortijo de Jara Shop Jerez center
ChIJ55oJszbeDQ0RmbL9u_o0DfE,Bodegas Delgado Zuleta,Bodega Delgado Zuleta
ChIJN4s-p8zGDQ0REL7fy-7B25c,Bodegas Dios Baco,Bodegas Dios Baco
ChIJNfLm15LGDQ0R8dik4C0_uRY,Bodegas Díez Mérito,"Bodegas Díez Mérito, Bodega El Cuadro (Despacho De Vinos)"
ChIJJwi7V8DHDQ0RXOSrlUHplNg,Bodegas Espinosa De Los Monteros,Bodegas Espinosa de los Monteros
ChIJv-aZKOHPDQ0RZBCiQ9DSIZI,Bodegas Forlong,Bodega de Forlong
ChIJCcYij5nGDQ0RWRrdcbmOLJo,Bodegas Fundador,Bodegas Fundador
ChIJP9QbH5HGDQ0R7d77RhLqFOQ,Bodegas González Byass – Tío Pepe,Bodega Tio Pepe
ChIJcc10sNzPDQ0R7MlO8Xl-hvU,Bodegas Gutiérrez Colosía,Bodegas Gutiérrez Colosía
ChIJxw2Sv9ntDQ0RoFdjT4jcl90,Bodegas Halcón,Bodegas Halcón (antiguas Bodegas Marqués de San Gil)
ChIJ_1JHjSbeDQ0RqPcFKOJt6F4,Bodegas Herederos De Argüeso,Bodegas Argüeso
ChIJkVFKMi_eDQ0RbUWCbWFfuJ8,Bodegas Hidalgo – La Gitana,Bodegas Hidalgo - La Gitana
ChIJr8P2iAvEDQ0RmMQvusuYxZ0,Bodegas Luis Pérez,Bodegas Luis Pérez
ChIJySuRU-vGDQ0Rvc9ojugSZEY,Bodegas Lustau,Bodegas Lustau
ChIJm-w-fcQ0DA0RXkm9a9lHDfM,Bodegas Manuel Aragón,Bodega Manuel Aragón S.L.
ChIJEXC-l_2wDQ0ROFc7U0MIBSU,Bodegas Miguel Domecq – Entrechuelos,Bodega Miguel Domecq
ChIJrTsx7snPDQ0Riq-On40pwHY,Bodegas Osborne,Bodegas Osborne
ChIJz_IKR_fGDQ0RsRflC-BrFBM,Bodegas Páez Morilla,Bodegas Páez Morilla
ChIJz90R-tTGDQ0RvN5KgpNdgEo,Bodegas Real Tesoro & Valdespino,Grupo Estévez
ChIJZ5JEyqLGDQ0RpB7uXFQ3Piw,Bodegas Rey Fernando De Castilla,Bodegas Fernando de Castilla
ChIJf5IT4pjGDQ0RzZpzp1cvGZo,Bodegas Tradición,Bodegas Tradicion
ChIJcRQcjynEDQ0RW6-gb79KtNc,Bodegas Williams & Humbert Sau,Bodegas Williams & Humbert
ChIJE4VG-DLeDQ0RRzHNoVmHD18,Bodegas Yuste,BODEGAS YUSTE
ChIJM8Tgie3GDQ0RRQjPIsgn91o,Bodegas Álvaro Domecq,"BODEGAS ÁLVARO DOMECQ, S.L."
ChIJ6xhJRUjpDQ0Rp8pg2rBlncg,Cooperativa Agrícola Virgen De Palomares,Cooperativa Virgen de Palomares
ChIJM09swJ40DA0REt4gUBhG2GQ,Cooperativa De Viticultores Chiclaneros,Bodega Cooperativa de Vinos de Chiclana. Unión de viticultores chiclaneros.
ChIJldte9T7eDQ0RXhR5cFndor8,Covisan – Cooperativa Vitivinícola Sanluqueña,Cooperativa del campo vitivinícola sanluqueña COVISAN
ChIJkexvGQDZDQ0RhDTwkui99B8,Finca La Pintora,Finca La Pintora
ChIJmUEaySzDDQ0RDUBCW4L_qtM,Viña El Carmen,Viña El Carmen
ChIJ9Y8SYVvFDQ0RmrziqgLYMGk,Viña La Torre,Viña La Torre | Bodega Vinos Cádiz Jerez
ChIJ62jVhLzpDQ0RNn5ZAGVurMw,Viñedos Bodega El Piraña,Viñedos - bodega El Piraña
