categoria,nombre,localidad,url_ficha,slug
bodegas,Bodega Cooperativa Albarizas,Trebujena,https://rutadelvinojerez.es/empresas-y-servicios/bodega-cooperativa-albarizas,bodega-cooperativa-albarizas
bodegas,Bodega Gago & Co. Barrels – Wines,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/gago-co-barrels-wines,gago-co-barrels-wines
bodegas,Bodega Mar 7,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/mar-7,mar-7
bodegas,"Bodega, Viña Y Casa Rural Santa Petronila",Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/casa-rural-santa-petronila-y-bodega,casa-rural-santa-petronila-y-bodega
bodegas,Bodegas Ac Wines & Spirits – Sucesores...,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-ac-wines-spirits-sucesores-de-g-de-angulo,bodegas-ac-wines-spirits-sucesores-de-g-de-angulo
bodegas,Bodegas Altanza,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-altanza,bodegas-altanza
bodegas,Bodegas Barbadillo,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-barbadillo,bodegas-barbadillo
bodegas,Bodegas Barón,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-baron,bodegas-baron
bodegas,Bodegas Caydsa,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-caydsa,bodegas-caydsa
bodegas,Bodegas Cayetano Del Pino,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-cayetano-del-pino,bodegas-cayetano-del-pino
bodegas,Bodegas Cortijo De Jara,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-cortijo-de-jara,bodegas-cortijo-de-jara
bodegas,Bodegas Delgado Zuleta,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-delgado-zuleta,bodegas-delgado-zuleta
bodegas,Bodegas Dios Baco,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-dios-baco,bodegas-dios-baco
bodegas,Bodegas Díez Mérito,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-diez-merito,bodegas-diez-merito
bodegas,Bodegas Espinosa De Los Monteros,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-espinosa-de-los-monteros,bodegas-espinosa-de-los-monteros
bodegas,Bodegas Forlong,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-forlong,bodegas-forlong
bodegas,Bodegas Fundador,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-fundador,bodegas-fundador
bodegas,Bodegas González Byass – Tío Pepe,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-gonzalez-byass-tio-pepe,bodegas-gonzalez-byass-tio-pepe
bodegas,Bodegas Gutiérrez Colosía,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-gutierrez-colosia,bodegas-gutierrez-colosia
bodegas,Bodegas Halcón,Lebrija,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-halcon,bodegas-halcon
bodegas,Bodegas Herederos De Argüeso,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-herederos-de-argueso,bodegas-herederos-de-argueso
bodegas,Bodegas Hidalgo – La Gitana,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-hidalgo-la-gitana,bodegas-hidalgo-la-gitana
bodegas,Bodegas Luis Pérez,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-luis-perez,bodegas-luis-perez
bodegas,Bodegas Lustau,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-lustau,bodegas-lustau
bodegas,Bodegas Manuel Aragón,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-manuel-aragon,bodegas-manuel-aragon
bodegas,Bodegas Miguel Domecq – Entrechuelos,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-miguel-domecq-entrechuelos,bodegas-miguel-domecq-entrechuelos
bodegas,Bodegas Osborne,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-osborne,bodegas-osborne
bodegas,Bodegas Páez Morilla,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-paez-morilla,bodegas-paez-morilla
bodegas,Bodegas Real Tesoro & Valdespino,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-real-tesoro-valdespino,bodegas-real-tesoro-valdespino
bodegas,Bodegas Rey Fernando De Castilla,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-rey-fernando-de-castilla,bodegas-rey-fernando-de-castilla
bodegas,Bodegas Tradición,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-tradicion,bodegas-tradicion
bodegas,Bodegas Williams & Humbert Sau,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-williams-humbert-sau,bodegas-williams-humbert-sau
bodegas,Bodegas Yuste,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-yuste,bodegas-yuste
bodegas,Bodegas Álvaro Domecq,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-alvaro-domecq,bodegas-alvaro-domecq
bodegas,Cooperativa Agrícola Virgen De Palomares,Trebujena,https://rutadelvinojerez.es/empresas-y-servicios/cooperativa-agricola-virgen-de-palomares,cooperativa-agricola-virgen-de-palomares
bodegas,Cooperativa De Viticultores Chiclaneros,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/cooperativa-de-viticultores-chiclaneros,cooperativa-de-viticultores-chiclaneros
bodegas,Covisan – Cooperativa Vitivinícola Sanluqueña,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/covisan-cooperativa-vitivinicola-sanluquena,covisan-cooperativa-vitivinicola-sanluquena
bodegas,Finca La Pintora,Rota,https://rutadelvinojerez.es/empresas-y-servicios/finca-la-pintora,finca-la-pintora
bodegas,Viña El Carmen,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/vina-el-carmen,vina-el-carmen
bodegas,Viña La Torre,Jerez de la Frontera / El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/vina-la-torre-de-balbaina,vina-la-torre-de-balbaina
bodegas,Viñedos Bodega El Piraña,Trebujena,https://rutadelvinojerez.es/empresas-y-servicios/vinedos-bodega-el-pirana,vinedos-bodega-el-pirana
alojamientos,Bbjerez,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bbjerez,bbjerez
alojamientos,"Bodega, Viña Y Casa Rural Santa Petronila",Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/casa-rural-santa-petronila-y-bodega,casa-rural-santa-petronila-y-bodega
alojamientos,Casa Rural Viña Alcántara,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/casa-rural-superior-vina-alcantara,casa-rural-superior-vina-alcantara
alojamientos,Hotel Albariza,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/hotel-albariza,hotel-albariza
