ambito,atributo,beta_penalty,beta_reward,p_penalty,p_reward,importancia,lambda_kano,kano,lambda_ordinal,perfil,perfil_pos,desempeno,menciones
Marco de Jerez,Visita y experiencia,-1.319,0.2628,0.0,0.0,0.2081,-0.6677,Básico,-0.4593,Mixto,0.5595,4.242,4676
Marco de Jerez,Precio y valor,-0.9628,0.0168,0.0,0.5862,0.149,-0.9657,Básico,-0.7188,Higiénico,0.0,3.778,765
Marco de Jerez,Organización y reserva,-0.946,0.1365,0.0,0.0075,0.1479,-0.7478,Básico,-0.5956,Mixto,0.4091,3.523,331
Marco de Jerez,Instalaciones,-0.8863,0.1243,0.0,0.0,0.1385,-0.754,Básico,-0.5784,Mixto,0.3976,4.244,3759
Marco de Jerez,Personal y trato,-0.8521,0.1767,0.0,0.0,0.1346,-0.6565,Básico,-0.1765,Mixto,0.5806,4.331,2529
Marco de Jerez,Vino y cata,-0.6106,0.1436,0.0,0.0,0.097,-0.6192,Básico,-0.4933,Mixto,0.6507,4.128,4232
Marco de Jerez,Gastronomía y restauración,-0.4939,0.0576,0.0,0.0638,0.0769,-0.7911,Básico,-0.9161,Higiénico,0.3278,3.88,747
Marco de Jerez,Entorno y viñedo,-0.2881,0.1139,0.154,0.028,0.0479,-0.4332,Básico,-0.3647,Deleitador,1.0,4.295,207
Bodegas Barbadillo,Precio y valor,-1.6925,0.163,0.0,0.1757,0.237,-0.8243,Básico,-0.7866,Higiénico,0.0706,3.659,50
Bodegas Barbadillo,Instalaciones,-1.6842,0.1229,0.0,0.0645,0.2353,-0.864,Básico,-0.8157,Higiénico,0.0,4.294,264
Bodegas Barbadillo,Organización y reserva,-1.6144,0.3251,0.0,0.2233,0.2295,-0.6648,Básico,-0.8443,Mixto,0.3548,2.904,18
Bodegas Barbadillo,Vino y cata,-0.8194,0.0972,0.0,0.1634,0.115,-0.7879,Básico,-0.8363,Higiénico,0.1356,4.14,306
Bodegas Barbadillo,Personal y trato,-0.7486,0.1512,0.01,0.0187,0.1064,-0.664,Básico,0.171,Mixto,0.3562,4.477,207
Bodegas Barbadillo,Visita y experiencia,-0.4857,0.26,0.0295,0.0032,0.0768,-0.3026,Básico,-0.3606,Deleitador,1.0,4.327,379
