bodega,estado,precio_eur,tipo_probable,confianza,contexto,url,metodo,fecha_consulta
Bodega Cooperativa Albarizas,spa,,,,,https://vinosdealbarizas.com/,,2026-07-22
Bodega Gago & Co. Barrels – Wines,ok,24.0,visita + cata,alta,s de visitas diferentes: VISITAS Y CATAS VISITA GENERAL Ver más VG VISITA GENERAL Precio: 24.00€ VISITA CON QUESOS Ver más VCQ VISITA CON QUESOS Precio: 35.00€ VISITA CON IBÉRICOS Y QUES,https://gagobarrels.com/visitanos/,navegador,2026-07-22
Bodega Gago & Co. Barrels – Wines,ok,35.0,visita,alta,VG VISITA GENERAL Precio: 24.00€ VISITA CON QUESOS Ver más VCQ VISITA CON QUESOS Precio: 35.00€ VISITA CON IBÉRICOS Y QUESOS Ver más VCI VISITA CON IBÉRICOS Y QUESOS Precio: 49.00€ VISI,https://gagobarrels.com/visitanos/,navegador,2026-07-22
Bodega Gago & Co. Barrels – Wines,ok,49.0,cata premium,alta,cio: 35.00€ VISITA CON IBÉRICOS Y QUESOS Ver más VCI VISITA CON IBÉRICOS Y QUESOS Precio: 49.00€ VISITA PREMIUM RON DEL BARRILITO Ver más VPR VISITA PREMIUM RON DEL BARRILITO Precio: 75.,https://gagobarrels.com/visitanos/,navegador,2026-07-22
Bodega Gago & Co. Barrels – Wines,ok,75.0,cata premium,alta,00€ VISITA PREMIUM RON DEL BARRILITO Ver más VPR VISITA PREMIUM RON DEL BARRILITO Precio: 75.00€ Created with Sketch. 0 Eventos disponibles Filtros No se encuentran resultados... Tour pr,https://gagobarrels.com/visitanos/,navegador,2026-07-22
Bodega Mar 7,ok,13.0,visita + cata,alta,Catas Contacto Bodegas Instagram Facebook Seleccionar página EST. BODEGA 1840 Manzanilla 13€ Manzanilla pasada 15€ Mar 7 ofrece al consumidor una cuidadosa selección de los mejores,http://despachodevinosmar7.com/,requests,2026-07-22
Bodega Mar 7,ok,15.0,sin clasificar,baja,s Instagram Facebook Seleccionar página EST. BODEGA 1840 Manzanilla 13€ Manzanilla pasada 15€ Mar 7 ofrece al consumidor una cuidadosa selección de los mejores vinos de la zona. Vino,http://despachodevinosmar7.com/,requests,2026-07-22
Bodega Mar 7,ok,26.4,visita + cata,alta,"blemático y con la mejor calidad. Consultanos por las catas personalizadas Pedro Ximénez 26,40€ Amontillado 26,40€ La gama está compuesta por manzanillas, olorosos, amontillados, pedro",http://despachodevinosmar7.com/,requests,2026-07-22
Bodega Mar 7,ok,26.4,visita + cata,alta,"mejor calidad. Consultanos por las catas personalizadas Pedro Ximénez 26,40€ Amontillado 26,40€ La gama está compuesta por manzanillas, olorosos, amontillados, pedro ximénez y vinos vie",http://despachodevinosmar7.com/,requests,2026-07-22
Bodega Mar 7,ok,26.4,sin clasificar,baja,"ro ximénez y vinos viejos, algunos de los cuales, nunca han sido comercializados. Oloroso 26,40€ La gama está compuesta por manzanillas, olorosos, amontillados, Pedro Ximénez y vinos vie",http://despachodevinosmar7.com/,requests,2026-07-22
