resena_id,atributo,n_frases,s0,s1,s2,s3,s4,sentimiento,bodega,puntuacion
ChRDSUhNMG9nS0VJQ0FnSUM4dlk1eRAB,Instalaciones,1,0.005652,0.006711,0.035006,0.300938,0.651692,4.586,Bodegas Tradición,5.0
ChRDSUhNMG9nS0VJQ0FnSUM4dlk1eRAB,Precio y valor,1,0.001391,0.000969,0.003409,0.058052,0.936179,4.927,Bodegas Tradición,5.0
ChRDSUhNMG9nS0VJQ0FnSUM4dlk1eRAB,Vino y cata,1,0.001391,0.000969,0.003409,0.058052,0.936179,4.927,Bodegas Tradición,5.0
ChRDSUhNMG9nS0VJQ0FnSUM4dlk1eRAB,Visita y experiencia,1,0.005652,0.006711,0.035006,0.300938,0.651692,4.586,Bodegas Tradición,5.0
ChRDSUhNMG9nS0VJQ0FnSUN1Z1lFYxAB,Instalaciones,1,0.005679,0.005853,0.036576,0.243928,0.707964,4.643,Bodega Mar 7,5.0
ChRDSUhNMG9nS0VJQ0FnSUN1Z1lFYxAB,Vino y cata,2,0.027119,0.013546,0.034514,0.177901,0.746919,4.604,Bodega Mar 7,5.0
ChRDSUhNMG9nS0VJQ0FnSUNBOW9BehAB,Instalaciones,1,0.018687,0.02221,0.153912,0.402889,0.402302,4.148,Bodegas Fundador,5.0
ChRDSUhNMG9nS0VJQ0FnSUNHbmMwRxAB,Vino y cata,1,0.434642,0.28537,0.111742,0.07043,0.097816,2.111,Bodegas Barbadillo,5.0
ChRDSUhNMG9nS0VJQ0FnSUNJenZ3aRAB,Instalaciones,1,0.05172,0.108826,0.284857,0.333699,0.220899,3.563,Bodegas Real Tesoro & Valdespino,4.0
ChRDSUhNMG9nS0VJQ0FnSUNJenZ3aRAB,Precio y valor,1,0.05172,0.108826,0.284857,0.333699,0.220899,3.563,Bodegas Real Tesoro & Valdespino,4.0
ChRDSUhNMG9nS0VJQ0FnSUNJenZ3aRAB,Vino y cata,1,0.05172,0.108826,0.284857,0.333699,0.220899,3.563,Bodegas Real Tesoro & Valdespino,4.0
ChRDSUhNMG9nS0VJQ0FnSUNJenZ3aRAB,Visita y experiencia,1,0.05172,0.108826,0.284857,0.333699,0.220899,3.563,Bodegas Real Tesoro & Valdespino,4.0
ChRDSUhNMG9nS0VJQ0FnSUNKdmNkMRAB,Visita y experiencia,1,0.005478,0.003835,0.020944,0.123079,0.846663,4.802,Bodegas Hidalgo – La Gitana,5.0
ChRDSUhNMG9nS0VJQ0FnSUNlc3VsaRAB,Instalaciones,1,0.001794,0.002848,0.037025,0.333327,0.625006,4.577,Bodegas Manuel Aragón,5.0
ChRDSUhNMG9nS0VJQ0FnSUNlc3VsaRAB,Personal y trato,1,0.003126,0.003966,0.04444,0.338479,0.609988,4.548,Bodegas Manuel Aragón,5.0
