bodega,localidad,web,certificado_swfcp,sello_fev,eje_ecologico,eje_clima,eje_energia,eje_agua,eje_residuos,eje_biodiversidad,eje_general,menciona_ecologico,web_ok,indice_sostenibilidad
Bodega Cooperativa Albarizas,Trebujena,https://vinosdealbarizas.com/,False,,True,False,False,False,False,False,False,True,True,1
Bodega Gago & Co. Barrels – Wines,Jerez de la Frontera,https://gagobarrels.com/visitanos/,False,,True,False,False,False,False,False,True,True,True,2
Bodega Mar 7,Sanlúcar de Barrameda,http://despachodevinosmar7.com/,False,,False,False,False,False,False,False,True,False,True,1
"Bodega, Viña Y Casa Rural Santa Petronila",Jerez de la Frontera,https://santapetronila.com/,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Ac Wines & Spirits – Sucesores...,Sanlúcar de Barrameda,https://acwines.es/,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Altanza,Jerez de la Frontera,https://galeriadeljerez.com/,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Barbadillo,Sanlúcar de Barrameda,https://www.barbadillo.com/,True,Barbadillo,True,False,False,False,False,False,False,True,True,1
Bodegas Barón,Sanlúcar de Barrameda,https://bodegasbaron.es/,False,,False,False,False,False,False,False,True,False,True,1
Bodegas Caydsa,Sanlúcar de Barrameda,https://www.caydsa.es/cooperativa-caydsa-visitas/,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Cayetano Del Pino,Jerez de la Frontera,https://cayetanodelpino.com/visitas,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Cortijo De Jara,Jerez de la Frontera,https://cortijodejara.es/,False,,True,False,False,False,False,False,False,True,True,1
Bodegas Delgado Zuleta,Sanlúcar de Barrameda,https://www.delgadozuleta.com/,False,,False,False,False,False,False,False,False,False,False,0
Bodegas Dios Baco,Jerez de la Frontera,https://bodegasdiosbaco.com/,False,,True,False,False,False,False,False,True,True,True,2
Bodegas Díez Mérito,Jerez de la Frontera,https://diezmerito.com/,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Espinosa De Los Monteros,Jerez de la Frontera,https://www.bodegasespinosadelosmonteros.com/,False,,False,False,False,False,False,False,True,False,True,1
Bodegas Forlong,El Puerto de Santa María,https://bodegadeforlong.com/,False,,True,False,False,False,False,False,True,True,True,2
Bodegas Fundador,Jerez de la Frontera,https://brandyfundador.com/,False,,False,False,False,False,False,False,False,False,True,0
Bodegas González Byass – Tío Pepe,Jerez de la Frontera,https://www.tiopepe.com/es-es/validate,True,González Byass,False,False,False,False,False,False,True,False,True,1
Bodegas Gutiérrez Colosía,El Puerto de Santa María,http://www.gutierrezcolosia.com/,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Halcón,Lebrija,https://www.bodegashalcon.es/,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Herederos De Argüeso,Sanlúcar de Barrameda,https://herederosdeargueso.com/,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Hidalgo – La Gitana,Sanlúcar de Barrameda,http://www.bodegashidalgolagitana.com/,False,,True,False,False,False,False,False,True,True,True,2
Bodegas Luis Pérez,Jerez de la Frontera,http://bodegasluisperez.com/,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Lustau,Jerez de la Frontera,https://lustau.es/,True,Lustau,False,False,False,False,False,False,False,False,True,0
Bodegas Manuel Aragón,Chiclana de la Frontera,https://www.bodegamanuelaragon.com/es/,False,,True,False,False,False,False,False,False,True,True,1
Bodegas Miguel Domecq – Entrechuelos,Jerez de la Frontera,https://migueldomecq.com/,False,,True,True,True,True,True,True,True,True,True,7
Bodegas Osborne,El Puerto de Santa María,https://www.osborne.es/es/,True,Osborne,False,True,True,False,False,True,True,False,True,4
Bodegas Páez Morilla,Jerez de la Frontera,https://www.bodegaspaezmorilla.net/visitas,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Real Tesoro & Valdespino,Jerez de la Frontera,https://www.grupoestevez.es/instalaciones.cfm,False,,False,False,True,False,False,False,False,False,True,1
Bodegas Rey Fernando De Castilla,Jerez de la Frontera,http://fernandodecastilla.es/,False,,True,False,False,False,False,False,False,True,True,1
Bodegas Tradición,Jerez de la Frontera,https://bodegastradicion.es/es/,False,,False,False,False,False,False,False,True,False,True,1
Bodegas Williams & Humbert Sau,Jerez de la Frontera,https://www.williams-humbert.com/,False,,False,False,False,False,False,False,False,False,True,0
Bodegas Yuste,Sanlúcar de Barrameda,https://bodegasyuste.com/,False,,False,False,False,False,False,False,False,False,False,0
Bodegas Álvaro Domecq,Jerez de la Frontera,https://www.alvarodomecq.com/,False,,False,False,False,False,False,False,True,False,True,1
Cooperativa Agrícola Virgen De Palomares,Trebujena,https://vinosdetrebujena.com/visitas-y-catas/,False,,False,False,False,False,False,False,True,False,True,1
Cooperativa De Viticultores Chiclaneros,Chiclana de la Frontera,https://www.bodegacooperativa.com/content/10-la-bodega,False,,False,False,False,False,False,False,False,False,True,0
Covisan – Cooperativa Vitivinícola Sanluqueña,Sanlúcar de Barrameda,https://covisan.net/,False,,False,False,False,False,False,False,False,False,True,0
Finca La Pintora,Rota,https://www.fincalapintora.com/,False,,True,False,False,False,False,False,False,True,True,1
Viña El Carmen,Jerez de la Frontera,https://vecwines.com/,False,,False,False,False,False,False,False,False,False,True,0
Viña La Torre,El Puerto de Santa María / Jerez de la Frontera,https://albarizadelatorre.es/,False,,True,False,False,False,False,False,True,True,True,2
Viñedos Bodega El Piraña,Trebujena,,False,,False,False,False,False,False,False,False,False,False,0
Bodegas Emilio Hidalgo,Jerez de la Frontera,https://www.emiliohidalgo.es,False,,False,False,False,False,False,False,False,False,False,0
